충남;서울;2023;06;17;12;40;우등;민국;14;1403352310240213232023052303
제주;경기;2023;06;18;10;30;일반;대한;12;143221213034230112132413
충남;제주;2023;06;16;11;10;프리미엄;민국;8;0014201305341012
제주;경기;2023;06;16;15;00;프리미엄;민국;11;2305242303141213133101
경기;서울;2023;06;19;10;30;우등;대한;15;233223130404243235311222023313
충남;부산;2023;06;17;09;20;일반;대한;16;35313035022533332520340113121213
제주;경기;2023;06;17;05;10;일반;민국;2;3413
충남;서울;2023;06;15;07;40;프리미엄;대한;7;33353002312021
부산;제주;2023;06;15;02;00;프리미엄;대한;20;1502332325130204232525123433030310122215
충남;제주;2023;06;16;10;10;프리미엄;대한;7;32231532021134
서울;충남;2023;06;19;12;10;우등;인규;2;3101
제주;충북;2023;06;16;15;30;프리미엄;민국;21;232515032010343203012332141503202404241433
충남;충북;2023;06;18;04;30;우등;인규;2;3232
충북;충남;2023;06;18;12;50;프리미엄;민국;21;320115352312120020350300110420242224241303
제주;경기;2023;06;15;07;50;프리미엄;대한;16;22052433150301250401002432013113
충남;충북;2023;06;15;10;40;우등;민국;7;25353200021103
제주;경기;2023;06;15;01;00;우등;인규;8;3222151225251522
부산;충남;2023;06;19;14;20;일반;대한;18;112425030411253325100413152014310402
부산;충남;2023;06;18;11;40;일반;민국;21;032325031120051122341333041423352203231222
서울;충북;2023;06;15;14;00;우등;인규;12;102010342225330012153121
제주;충남;2023;06;17;07;00;일반;인규;2;2022
제주;부산;2023;06;17;01;30;일반;인규;8;1133121413023513
충남;서울;2023;06;17;00;00;프리미엄;대한;23;1303302505111403222500053000023002023521040435
부산;제주;2023;06;17;01;20;일반;인규;13;35120233140321310022030411
충북;제주;2023;06;17;04;40;일반;대한;6;223123033534
충북;서울;2023;06;16;13;20;우등;민국;9;302503023231201401
제주;부산;2023;06;18;12;20;프리미엄;민국;3;331105
충남;서울;2023;06;17;04;30;우등;민국;8;1305112430053431
서울;충북;2023;06;16;10;50;우등;민국;4;05221022
제주;경기;2023;06;17;08;20;일반;대한;7;04322100003421
