부산;제주;2023;06;16;02;00;우등;인규;40km;4시간소요;4000;10;13421150430253410320
충남;경기;2023;06;17;08;00;일반;민국;20km;2시간소요;2000;3;321220
제주;충남;2023;06;19;07;40;일반;인규;10km;1시간소요;1000;19;11532051332232230103423110304043415002
충남;제주;2023;06;19;14;40;프리미엄;민국;10km;1시간소요;1000;18;511141422330533231130221105000402243
부산;서울;2023;06;16;10;40;일반;민국;10km;1시간소요;1000;19;21223330114031531312004210233250525141
경기;제주;2023;06;19;04;10;프리미엄;대한;30km;3시간소요;3000;21;531033504132403101201213510242300323524321
부산;제주;2023;06;18;12;10;우등;인규;40km;4시간소요;4000;23;3021501242323133131101401000022053412223514352
충북;제주;2023;06;19;13;00;일반;대한;20km;2시간소요;2000;20;1251404350103202210323523353003031201142
충북;서울;2023;06;15;05;50;우등;민국;30km;3시간소요;3000;21;332350112240312013520232213051424143030110
제주;충남;2023;06;19;03;40;프리미엄;인규;10km;1시간소요;1000;10;21113003310212412001
충남;제주;2023;06;16;14;20;우등;인규;10km;1시간소요;1000;22;00402132124353315113521023204111020333013042
경기;충남;2023;06;17;05;40;우등;인규;20km;2시간소요;2000;17;1012215220425330430213400311223123
서울;제주;2023;06;15;10;50;프리미엄;민국;50km;5시간소요;5000;14;2250415131304321011012134000
부산;충남;2023;06;18;14;40;프리미엄;민국;30km;3시간소요;3000;8;5212034102105133
제주;부산;2023;06;15;10;40;프리미엄;민국;40km;4시간소요;4000;21;520330425301111033500200204113512112324323
제주;충남;2023;06;19;11;20;프리미엄;민국;10km;1시간소요;1000;8;5030203153210033
충북;제주;2023;06;19;06;00;우등;인규;20km;2시간소요;2000;10;23032040413243514230
충북;부산;2023;06;16;04;50;프리미엄;인규;20km;2시간소요;2000;4;52005123
충북;제주;2023;06;18;10;50;프리미엄;민국;20km;2시간소요;2000;14;3252300233201131132303210010
경기;서울;2023;06;18;08;00;우등;대한;20km;2시간소요;2000;21;122051221043531311314232303301215240035002
경기;충북;2023;06;15;01;20;프리미엄;민국;10km;1시간소요;1000;5;0110502120
충북;서울;2023;06;17;14;00;일반;대한;30km;3시간소요;3000;16;22304121134351004231405010335352
경기;충남;2023;06;18;00;20;프리미엄;인규;20km;2시간소요;2000;13;11324231020301304341204021
충북;부산;2023;06;16;12;50;프리미엄;인규;20km;2시간소요;2000;14;4112312211425301133203400052
부산;경기;2023;06;17;12;50;프리미엄;대한;10km;1시간소요;1000;6;333120034202
서울;경기;2023;06;19;09;40;일반;민국;20km;2시간소요;2000;14;4013021142330143511241202100
경기;충남;2023;06;18;10;50;일반;대한;20km;2시간소요;2000;7;41425043332300
